Store;latitude;longitude
Mini Kayamandi;-33.92123350513086; 18.85494045943745
Strand;-34.11526435567134; 18.862349334626476
Delft;-33.957488964268755; 18.64964706530925
Brooklyn;-33.911878289493366; 18.48654447018492
Rugby;-33.89485921881309; 18.491081561478516
Kraaifontein;-33.84197691228969; 18.715319840330224
Kraaifontein;-33.86825678226101; 18.726676310209434
Belleville Station;-33.9058733609426; 18.632883226112803
Langa;-33.945491584529066; 18.53535415904352
Ottery;-34.02216558003455; 18.52406489711599
Ilingelethu;-33.46883550897043; 18.703960494868046
Colorado;-34.02904642473526; 18.58987818177461
Belhar;-33.945308283494086; 18.625220266433224
Ravensmead;-33.92083064532743; 18.605280918161125
Abaisha Centre;-33.930608600509615; 18.58139485679558
kleinvlei;-33.99065987546252; 18.70920399599202
Sarepta;-33.9377650197079; 18.668474865309257
Surrey;-33.970007641454465; 18.550768619847076
Usave Morgenster;-34.0329622789858; 18.63249872723678
Elsies River;-33.91402786441098; 18.569913095430028
Scottsville;-33.856742845877655; 18.70780848121262
Protea Park;-33.5762543814759; 18.502867224426854
Gaylee;-33.979797604970564; 18.70104754201618
Sir Lowry's Pass;-34.11487334332368; 18.9116500784027
Worcester;-33.649520546737364; 19.445283003387438
